"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:44:30:110PM)"
"Foreign Direct Investment in the U.S.,Direct Investment Income Without Current-Cost Adjustment" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"  Liechtenstein","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-11                     ,-22                     ,-12                     ,-55                     ,-48                     ,-42                     ,-23                     ,-14                     ,-21                     ,-12                     ,-4                      ,9                       ,-22                     ,-14                     ,-9                      ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"  Luxembourg",-25                     ,-24                     ,-10                     ,1                       ,13                      ,62                      ,5                       ,6                       ,-1                      ,-81                     ,59                      ,31                      ,-17                     ,36                      ,53                      ,285                     ,266                     ,451                     ,1187                   ,2241                   ,4711                   ,2414                   ,528                     ,683                     ,1188                   ,2462                   ,2710                   ,4390                   ,6810                   ,2401                   ,3950                   ,5941                   ,7186                   ,6456                   ,6430                   
"  Netherlands",3201                   ,3257                   ,1829                   ,1775                   ,2974                   ,2232                   ,2180                   ,1906                   ,2464                   ,2027                   ,179                     ,914                     ,1534                   ,1987                   ,4116                   ,5003                   ,5271                   ,6599                   ,6139                   ,7299                   ,8776                   ,3189                   ,4337                   ,8840                   ,12553                  ,15743                  ,20250                  ,21395                  ,10581                  ,13866                  ,19239                  ,21669                  ,21679                  ,22691                  ,21458                  
"  Norway","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-17                     ,4                       ,-13                     ,21                      ,-41                     ,-8                      ,2                       ,93                      ,164                     ,50                      ,204                     ,131                     ,-279                    ,58                      ,50                      ,77                      ,124                     ,153                     ,181                     ,-402                    ,-538                    ,-414                    ,-236                    ,-437                    ,1382                   ,476                     ,574                     ,784                     
"  Spain","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",13                      ,47                      ,29                      ,25                      ,36                      ,104                     ,111                     ,221                     ,250                     ,199                     ,152                     ,77                      ,143                     ,184                     ,-172                    ,-346                    ,27                      ,284                     ,334                     ,579                     ,1479                   ,746                     ,-698                    ,1799                   ,1442                   ,1149                   ,2285                   ,2467                   
"  Sweden",86                      ,68                      ,-14                     ,4                       ,153                     ,188                     ,142                     ,178                     ,255                     ,201                     ,-121                    ,-345                    ,-59                     ,-307                    ,129                     ,-217                    ,291                     ,987                     ,1487                   ,1251                   ,1333                   ,811                     ,1773                   ,2486                   ,1944                   ,1693                   ,2728                   ,2593                   ,3037                   ,1376                   ,1886                   ,3290                   ,2655                   ,3150                   ,3857                   
"  Switzerland",234                     ,289                     ,203                     ,339                     ,634                     ,351                     ,744                     ,922                     ,1092                   ,946                     ,214                     ,-11                     ,482                     ,889                     ,1599                   ,1185                   ,916                     ,3374                   ,854                     ,2844                   ,2782                   ,1299                   ,5771                   ,6928                   ,7023                   ,4462                   ,2862                   ,5915                   ,22871                  ,14090                  ,11838                  ,16409                  ,16494                  ,12706                  ,13354                  
"  United Kingdom",1284                   ,1150                   ,1633                   ,2130                   ,2600                   ,2661                   ,3103                   ,4208                   ,5591                   ,4726                   ,5593                   ,3703                   ,4972                   ,5615                   ,7229                   ,10630                  ,10374                  ,10781                  ,7268                   ,11899                  ,13347                  ,9046                   ,10152                  ,17610                  ,18641                  ,33274                  ,36555                  ,26622                  ,24013                  ,22302                  ,29545                  ,33950                  ,29510                  ,28679                  ,25236                  
"  Other EC","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",115                     ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"  Other",16                      ,2                       ,-75                     ,-32                     ,-6                      ,6                       ,-27                     ,14                      ,16                      ,-11                     ,-36                     ,-60                     ,-37                     ,8                       ,12                      ,15                      ,21                      ,44                      ,32                      ,117                     ,201                     ,805                     ,2115                   ,1129                   ,1587                   ,2286                   ,3217                   ,3648                   ,4319                   ,795                     ,2685                   ,1747                   ,1104                   ,690                     ,1417                   
"Japan",679                     ,740                     ,379                     ,1004                   ,1868                   ,1535                   ,773                     ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"Australia, New Zealand, and South Africa",46                      ,38                      ,-25                     ,37                      ,-84                     ,-33                     ,27                      ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"Latin America and Other Western Hemisphere",888                     ,802                     ,456                     ,-55                     ,-20                     ,-169                    ,-98                     ,-163                    ,449                     ,-284                    ,18                      ,-327                    ,-144                    ,464                     ,1204                   ,1206                   ,1383                   ,1748                   ,1286                   ,2397                   ,2382                   ,-3748                  ,-623                    ,1305                   ,2988                   ,4359                   ,7113                   ,8058                   ,6314                   ,2622                   ,2341                   ,5189                   ,7396                   ,7754                   ,11532                  
"  South and Central America",188                     ,190                     ,255                     ,74                      ,-43                     ,78                      ,247                     ,169                     ,509                     ,28                      ,390                     ,428                     ,538                     ,484                     ,362                     ,585                     ,670                     ,991                     ,1218                   ,1009                   ,689                     ,-36                     ,611                     ,2092                   ,2245                   ,2421                   ,3622                   ,3314                   ,2506                   ,674                     ,1253                   ,3957                   ,3555                   ,3632                   ,3556                   
"    Brazil","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",25                      ,44                      ,63                      ,32                      ,50                      ,35                      ,46                      ,88                      ,91                      ,45                      ,43                      ,81                      ,30                      ,92                      ,"(D)",87                      ,26                      ,39                      ,24                      ,16                      ,"(D)","(D)",-49                     ,18                      ,6                       ,118                     ,225                     ,170                     
"    Mexico","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-15                     ,35                      ,-149                    ,15                      ,39                      ,51                      ,53                      ,-34                     ,23                      ,1                       ,205                     ,216                     ,175                     ,-142                    ,-823                    ,21                      ,616                     ,17                      ,"(D)",923                     ,1248                   ,1498                   ,1152                   ,1479                   ,3415                   ,2559                   ,2585                   ,2297                   
"    Panama",58                      ,47                      ,-7                      ,11                      ,-131                    ,-17                     ,132                     ,102                     ,279                     ,26                      ,178                     ,304                     ,373                     ,319                     ,265                     ,529                     ,572                     ,734                     ,864                     ,752                     ,647                     ,499                     ,630                     ,1081                   ,"(D)",1173                   ,1851                   ,1163                   ,411                     ,189                     ,154                     ,93                      ,135                     ,100                     ,124                     
"    Venezuela","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",54                      ,121                     ,79                      ,121                     ,10                      ,53                      ,42                      ,-27                     ,-51                     ,-3                      ,-42                     ,-47                     ,-24                     ,22                      ,"(D)",-89                     ,425                     ,"(D)","(D)",818                     ,"(D)","(D)",-479                    ,-296                    ,"(D)","(D)","(D)","(D)"
"    Other",130                     ,143                     ,263                     ,64                      ,88                      ,94                      ,115                     ,3                       ,30                      ,11                      ,45                      ,25                      ,25                      ,24                      ,70                      ,-6                      ,54                      ,50                      ,103                     ,75                      ,70                      ,74                      ,-38                     ,-55                     ,-52                     ,-29                     ,13                      ,-85                     ,-166                    ,-139                    ,-103                    ,"(D)","(D)","(D)","(D)"
"  Other Western Hemisphere",700                     ,612                     ,201                     ,-129                    ,22                      ,-247                    ,-345                    ,-332                    ,-61                     ,-312                    ,-372                    ,-755                    ,-681                    ,-20                     ,842                     ,620                     ,713                     ,757                     ,69                      ,1387                   ,1693                   ,-3713                  ,-1233                  ,-788                    ,742                     ,1938                   ,3492                   ,4744                   ,3808                   ,1948                   ,1088                   ,1232                   ,3841                   ,4121                   ,7976                   
"    Bahamas","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",8                       ,"(D)",24                      ,97                      ,-77                     ,-14                     ,17                      ,55                      ,65                      ,101                     ,85                      ,-48                     ,-131                    ,7                       ,-56                     ,-65                     ,21                      ,79                      ,41                      ,31                      ,-24                     ,-9                      ,-76                     ,106                     ,-99                     ,-54                     ,-17                     ,78                      
"    Bermuda",-47                     ,-55                     ,-48                     ,-210                    ,-113                    ,-152                    ,186                     ,45                      ,69                      ,-146                    ,-26                     ,-91                     ,-194                    ,-254                    ,166                     ,-45                     ,-53                     ,227                     ,194                     ,41                      ,-204                    ,-4868                  ,-2251                  ,-1205                  ,-373                    ,-41                     ,670                     ,450                     ,2231                   ,1503                   ,541                     ,-200                    ,848                     ,1019                   ,3292                   
"    Curaçao","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",100                     ,747                     ,151                     ,-214                    
"    Netherlands Antilles",646                     ,579                     ,255                     ,267                     ,168                     ,-40                     ,-438                    ,-206                    ,117                     ,-143                    ,-110                    ,-133                    ,-177                    ,342                     ,440                     ,539                     ,540                     ,396                     ,-57                     ,-107                    ,247                     ,253                     ,-225                    ,-309                    ,416                     ,659                     ,1155                   ,1193                   ,943                     ,-4                      ,132                     ,"n.s.","n.s.","n.s.","n.s."
"    United Kingdom Islands, Caribbean",52                      ,37                      ,"(*)",-109                    ,-37                     ,-53                     ,-126                    ,-178                    ,-299                    ,-129                    ,-381                    ,-457                    ,-341                    ,-184                    ,175                     ,157                     ,139                     ,50                      ,-77                     ,1527                   ,1627                   ,1166                   ,404                     ,1027                   ,197                     ,958                     ,1826                   ,3095                   ,1020                   ,506                     ,299                     ,1408                   ,2274                   ,3001                   ,4838                   
"    Other",49                      ,51                      ,-6                      ,-76                     ,5                       ,-2                      ,32                      ,-1                      ,"(D)",81                      ,47                      ,4                       ,45                      ,60                      ,6                       ,-97                     ,-15                     ,-1                      ,56                      ,58                      ,16                      ,-208                    ,903                     ,-322                    ,422                     ,322                     ,-190                    ,30                      ,-377                    ,19                      ,9                       ,23                      ,25                      ,-33                     ,-18                     
"Africa","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",27                      ,39                      ,-34                     ,-41                     ,-96                     ,-61                     ,-27                     ,-19                     ,31                      ,-136                    ,-349                    ,-93                     ,-66                     ,31                      ,-221                    ,2                       ,-8                      ,177                     ,204                     ,207                     ,214                     ,63                      ,91                      ,117                     ,466                     ,50                      ,98                      ,-74                     
"  South Africa","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-2                      ,1                       ,-3                      ,-3                      ,-3                      ,"(*)","(*)","(*)","(*)",-1                      ,-3                      ,-8                      ,-33                     ,-1                      ,-54                     ,-54                     ,-7                      ,14                      ,-2                      ,14                      ,40                      ,25                      ,44                      ,"(D)","(D)","(D)","(D)",-122                    
"  Other","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",29                      ,38                      ,-31                     ,-38                     ,-93                     ,-61                     ,-27                     ,-19                     ,32                      ,-134                    ,-346                    ,-84                     ,-33                     ,32                      ,-167                    ,56                      ,-1                      ,163                     ,206                     ,194                     ,174                     ,38                      ,46                      ,"(D)","(D)","(D)","(D)",48                      
"Middle East",53                      ,61                      ,168                     ,-53                     ,-18                     ,55                      ,-171                    ,-133                    ,-310                    ,19                      ,-18                     ,-21                     ,-296                    ,-212                    ,57                      ,140                     ,118                     ,578                     ,274                     ,156                     ,241                     ,200                     ,-215                    ,154                     ,488                     ,592                     ,1243                   ,392                     ,-584                    ,-173                    ,-40                     ,80                      ,386                     ,382                     ,622                     
"  Israel",31                      ,37                      ,24                      ,7                       ,47                      ,12                      ,3                       ,12                      ,38                      ,37                      ,-2                      ,-60                     ,-95                     ,-293                    ,-12                     ,90                      ,-2                      ,115                     ,128                     ,91                      ,"(D)",-80                     ,-57                     ,-13                     ,26                      ,161                     ,338                     ,-63                     ,-1027                  ,-21                     ,23                      ,-61                     ,281                     ,123                     ,319                     
"  Kuwait","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-89                     ,-248                    ,-42                     ,46                      ,32                      ,-92                     ,40                      ,68                      ,106                     ,116                     ,346                     ,168                     ,"(D)","(D)","(D)",52                      ,"(D)","(D)",107                     ,"(D)","(D)",17                      ,6                       ,8                       ,38                      ,22                      ,37                      ,31                      
"  Lebanon","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-1                      ,-2                      ,-4                      ,-7                      ,-6                      ,-3                      ,-2                      ,-2                      ,-2                      ,-2                      ,"(*)","(*)","(*)","(*)","(*)","(*)","(*)","(*)","(D)","(*)",-3                      ,-4                      ,"(D)",-1                      ,-3                      ,-1                      ,-1                      ,-1                      
"  Saudi Arabia","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-24                     ,-28                     ,38                      ,-14                     ,67                      ,"(D)",61                      ,19                      ,-39                     ,"(D)","(D)",-33                     ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",-136                    ,"(D)","(D)",109                     ,"(D)","(D)"
"  United Arab Emirates","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","(D)",-18                     ,-22                     ,-26                     ,-26                     ,-20                     ,-13                     ,-6                      ,-8                      ,"(D)",-8                      ,-10                     ,-5                      ,2                       ,3                       ,10                      ,3                       ,1                       ,"(D)",-60                     ,-135                    ,171                     ,138                     ,58                      ,3                       ,31                      ,110                     ,130                     
"  Other",22                      ,24                      ,144                     ,-60                     ,-65                     ,43                      ,-174                    ,"(D)",-52                     ,11                      ,-14                     ,-28                     ,"(D)",-4                      ,-10                     ,-8                      ,4                       ,"(D)",21                      ,34                      ,8                       ,"(D)","(D)",17                      ,24                      ,"(D)",-76                     ,-77                     ,"(D)","(D)","(D)","(D)",-56                     ,"(D)","(D)"
"Asia and Pacific","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",430                     ,1404                   ,160                     ,-1481                  ,-3314                  ,-3921                  ,-2881                  ,606                     ,4152                   ,2129                   ,4821                   ,4057                   ,4931                   ,5651                   ,-1053                  ,8141                   ,8496                   ,16253                  ,18410                  ,23350                  ,22284                  ,5542                   ,7512                   ,22463                  ,23807                  ,22821                  ,23549                  ,28693                  
"  Australia","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-81                     ,75                      ,-254                    ,-328                    ,-543                    ,-826                    ,-547                    ,-215                    ,435                     ,492                     ,33                      ,302                     ,643                     ,356                     ,-416                    ,489                     ,1178                   ,2446                   ,3919                   ,5773                   ,5045                   ,2859                   ,1916                   ,4994                   ,4424                   ,1364                   ,1975                   ,2475                   
"  China","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",15                      ,-20                     ,66                      ,11                      ,-50                     ,102                     ,149                     ,97                      ,36                      ,188                     ,324                     ,567                     ,1351                   
"  Hong Kong","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-50                     ,-39                     ,-15                     ,-16                     ,-48                     ,-40                     ,44                      ,51                      ,20                      ,82                      ,84                      ,64                      ,125                     ,12                      ,21                      ,69                      ,78                      ,24                      ,219                     ,-49                     ,291                     ,"(D)",250                     ,220                     ,165                     ,258                     ,252                     ,303                     
"  India","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-2                      ,9                       ,109                     ,"(D)",237                     ,141                     ,223                     ,203                     ,391                     ,455                     ,524                     ,435                     ,465                     
"  Japan","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",612                     ,1355                   ,670                     ,-996                    ,-2474                  ,-2586                  ,-2105                  ,773                     ,3611                   ,2939                   ,5603                   ,4300                   ,4006                   ,5182                   ,-244                    ,7562                   ,7346                   ,12774                  ,12715                  ,16190                  ,15434                  ,6020                   ,4272                   ,14570                  ,14732                  ,16328                  ,15983                  ,20003                  
"  Korea, Republic of","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-49                     ,-2                      ,-149                    ,-115                    ,-194                    ,-234                    ,-184                    ,-119                    ,-221                    ,-1537                  ,-1123                  ,-661                    ,175                     ,232                     ,-90                     ,253                     ,-72                     ,467                     ,"(D)",556                     ,568                     ,-628                    ,208                     ,1165                   ,1899                   ,2653                   ,2730                   ,2535                   
"  Malaysia","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-2                      ,-2                      ,"(D)",-6                      ,-4                      ,-10                     ,-6                      ,9                       ,-5                      ,-14                     ,17                      ,-2                      ,-21                     ,1                       ,-39                     ,-19                     ,"(D)",-21                     ,16                      ,25                      ,29                      ,16                      ,-26                     ,-5                      ,20                      ,2                       ,19                      ,2                       
"  New Zealand","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-18                     ,-8                      ,-66                     ,-15                     ,-18                     ,-53                     ,-21                     ,"(*)",1                       ,4                       ,34                      ,21                      ,21                      ,4                       ,13                      ,-1                      ,"(D)",65                      ,"(D)",-22                     ,-8                      ,123                     ,99                      ,91                      ,32                      ,-15                     ,17                      ,21                      
"  Philippines","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-2                      ,1                       ,-1                      ,-5                      ,-9                      ,-7                      ,-3                      ,-6                      ,-1                      ,"(*)",6                       ,4                       ,5                       ,6                       ,3                       ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"  Singapore","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",3                       ,9                       ,25                      ,18                      ,-4                      ,-50                     ,"(*)",6                       ,-8                      ,-52                     ,50                      ,-24                     ,101                     ,-123                    ,-164                    ,-267                    ,-184                    ,41                      ,170                     ,357                     ,374                     ,"(D)",730                     ,438                     ,1431                   ,681                     ,818                     ,837                     
"  Taiwan","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",43                      ,33                      ,11                      ,-3                      ,-12                     ,-20                     ,"(*)",73                      ,238                     ,137                     ,71                      ,-39                     ,-168                    ,-13                     ,-139                    ,39                      ,129                     ,249                     ,351                     ,290                     ,276                     ,-96                     ,-274                    ,398                     ,415                     ,671                     ,692                     ,630                     
"  Other","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-26                     ,-18                     ,"(D)",-15                     ,-7                      ,-96                     ,-60                     ,35                      ,82                      ,77                      ,46                      ,92                      ,43                      ,-8                      ,2                       ,2                       ,7                       ,33                      ,58                      ,45                      ,31                      ,14                      ,37                      ,164                     ,46                      ,32                      ,61                      ,71                      
"Other Africa, Asia, and Pacific",12                      ,86                      ,51                      ,12                      ,-10                     ,-19                     ,35                      ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  European Union","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",6662                   ,9322                   ,7467                   ,4579                   ,2786                   ,5081                   ,7841                   ,14299                  ,20425                  ,22759                  ,26857                  ,24471                  ,34121                  ,35753                  ,11838                  ,18773                  ,40582                  ,53311                  ,75286                  ,94611                  ,73352                  ,82269                  ,70209                  ,98389                  ,105736                 ,103662                 ,103219                 ,96419                  
"  OPEC",40                      ,48                      ,162                     ,-18                     ,-38                     ,72                      ,-114                    ,-78                     ,-164                    ,50                      ,123                     ,93                      ,-182                    ,82                      ,49                      ,34                      ,136                     ,448                     ,111                     ,22                      ,172                     ,434                     ,-174                    ,"(D)",1334                   ,1568                   ,1818                   ,1557                   ,1130                   ,-593                    ,-180                    ,659                     ,1065                   ,1025                   ,1282                   
"Legend / Footnotes:"
"<strong>n.s.</strong>  Not shown.  Data may not be shown for several reasons:"
"1. The data appear on another line in this table."
"2. The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment."
"3. The data are not available, do not apply, or are not defined."
"<strong>(*)</strong> indicates a non-zero value between -$500,000 and +$500,000, or fewer than 50 employees, as appropriate."
"<strong>(D)</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies."
"Prior to 2006, income is presented net of U.S. and foreign withholding taxes. Beginning with 2006, income is presented gross of U.S. and foreign withholding taxes."
